,SIT_MATRICULA,RENDA_FAMILIAR,TIPO_ESCOLA_ORIGEM,ANO_CONCLUSAO_2_GRAU,COD_ESTADO_CIVIL,N_FILHOS,SEXO,PROFISSAO,DESC_CIDADE,NIVEL_FALA,NIVEL_COMPREENSAO,NIVEL_ESCRITA,NIVEL_LEITURA,NOTAS,N_FALTAS,ANO_INGRESSO,IDADE_INGRESSO,APROVACAO
290,0,0.0,2,2015,0,0,1,0,0,0,0,0,0,0.0,70,2016,0,0
291,0,0.0,6,2010,0,0,1,0,0,1,1,1,1,7.4,0,2013,1,1
292,0,0.0,6,2010,0,0,1,0,1,0,0,0,0,10.0,0,2014,1,1
293,0,0.0,1,2009,0,0,1,1,0,0,0,0,0,6.0,0,2011,0,1
294,0,0.0,1,2009,0,0,1,1,0,0,0,0,0,0.0,0,2011,0,0
296,1,0.0,1,2005,0,0,1,0,0,1,1,1,1,6.8,0,2011,1,1
298,0,4.0,1,2009,0,0,1,1,0,1,1,1,1,7.6,0,2011,0,1
299,0,4.0,6,2009,0,0,1,0,1,1,1,1,1,6.0,0,2011,0,1
300,0,5.0,1,2008,0,0,1,1,0,0,0,0,0,9.4,0,2011,1,1
301,0,4.0,6,2009,0,0,1,1,0,1,1,1,1,7.8,0,2011,1,1
302,0,4.0,6,2009,0,0,1,1,0,1,1,1,1,7.8,0,2011,1,1
304,1,4.0,6,2009,0,0,1,0,1,0,0,0,0,5.9,0,2011,0,0
305,1,4.0,4,2007,0,0,1,1,1,1,1,1,1,6.3,0,2011,1,1
306,1,4.0,4,2007,0,0,1,1,1,1,1,1,1,6.3,0,2011,1,1
307,1,0.0,1,2009,0,0,1,0,0,0,0,0,0,7.7,0,2011,0,1
308,0,0.0,6,2006,0,0,1,0,0,1,1,1,1,7.7,0,2011,1,1
309,1,0.0,6,2010,0,0,1,0,0,1,1,1,1,7.7,0,2011,0,1
310,1,0.0,6,2010,0,0,0,0,0,0,0,0,0,6.3,0,2011,0,1
311,1,0.0,1,2006,0,0,1,0,1,0,0,0,0,0.0,0,2011,1,0
312,1,0.0,1,2006,0,0,1,0,1,0,0,0,0,0.0,46,2011,1,0
313,1,0.0,1,2006,0,0,1,0,1,0,0,0,0,0.0,70,2015,1,0
314,0,0.0,2,2010,0,0,0,1,0,1,1,1,1,6.0,0,2011,0,1
315,0,0.0,2,2010,0,0,0,1,0,1,1,1,1,6.0,0,2011,0,1
316,0,0.0,2,2010,0,0,0,1,0,1,1,1,1,6.0,0,2011,0,1
317,1,5.0,6,2010,0,0,1,1,0,1,1,1,1,6.6,0,2011,0,1
318,0,0.0,1,2010,0,0,1,1,0,0,0,0,0,6.5,0,2011,0,1
319,0,4.0,6,2008,0,0,1,0,1,0,0,0,0,6.0,0,2013,1,1
320,0,0.0,1,2008,0,0,1,0,1,0,0,0,0,8.9,4,2014,1,1
321,0,0.0,1,2008,0,0,1,0,1,0,0,0,0,0.0,0,2014,1,0
322,1,4.0,6,2010,0,3,1,1,1,1,1,1,1,7.7,0,2011,0,1
323,1,4.0,6,2010,0,3,1,1,1,1,1,1,1,7.7,0,2011,0,1
324,1,4.0,6,2009,0,0,1,0,1,0,0,0,0,0.0,74,2011,0,0
325,0,0.0,6,2010,0,0,1,1,0,1,1,1,1,6.0,0,2012,0,1
326,0,0.0,6,2010,0,0,1,1,0,1,1,1,1,6.0,0,2012,0,1
328,1,0.0,6,2009,0,0,1,0,0,1,1,1,1,6.0,0,2011,0,1
329,0,4.0,1,2010,0,0,1,1,1,1,1,1,1,6.3,0,2014,1,1
330,0,0.0,6,2010,0,0,0,1,0,1,1,1,1,8.5,0,2011,0,1
331,1,2.0,1,2006,1,0,1,1,0,1,1,1,1,6.0,0,2011,1,1
332,1,2.0,1,2006,1,0,1,1,0,1,1,1,1,1.0,0,2011,1,0
333,1,2.0,1,2006,1,0,1,1,0,1,1,1,1,0.0,0,2011,1,0
334,1,2.0,1,2006,1,0,1,1,0,1,1,1,1,0.0,28,2011,1,0
